QID,W1,W2,Sim,Rel,S,D,R,U,SR,DR,SU,DU,AVG-C,W1F,W2F,AnyOOV,TwoOOV,EstSyn,EstAnt,EstRHigh,EstRMed,EstRLow,EstHyp,EstMer,W1-RWG,W2-RWG,RWMin,W1-DG,W2-DG,DGMax,W1-IG,W2-IG,IGMax,word1_subtokens,word2_subtokens,word1_fragmented,word2_fragmented,word1_tokens,word2_tokens
1,mızrap,barınak,"0,166666667","0,083333333",False,True,False,True,False,False,False,True,"6,15",150,890,FALSE,FALSE,0,0,0,0,1,0,0,2,3,2,0,1,1,0,0,0,2,2,True,True,"['mız', '##rap']","['barın', '##ak']"
2,kırmızı,gül,"1,166666667","7,166666667",False,True,True,False,False,True,False,False,,56298,64994,FALSE,FALSE,0,0,1,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['kırmızı'],['gül']
3,suçlu,şüphe,"2,416666667",7,False,True,True,False,False,True,False,False,"4,69",13535,9721,FALSE,FALSE,0,0,1,0,0,0,0,4,4,4,1,0,1,0,0,0,1,1,False,False,['suçlu'],['şüphe']
4,laikçiler,sekülerizmciler,9,"9,416666667",True,False,True,False,True,False,False,False,,66,0,TRUE,FALSE,1,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,2,4,True,True,"['laik', '##çiler']","['sek', '##üler', '##izm', '##ciler']"
5,bitki,zeytin,"3,666666667","6,75",False,True,True,False,False,True,False,False,"6,6",11980,7488,FALSE,FALSE,0,0,0,1,0,1,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['bitki'],['zeytin']
6,serin,soğuk,"7,25","8,833333333",True,False,True,False,True,False,False,False,"5,03",3675,37223,FALSE,FALSE,1,0,1,0,0,0,0,4,5,4,0,0,0,0,0,0,1,1,False,False,['serin'],['soğuk']
7,gül,pamuk,"2,083333333","3,583333333",False,True,False,True,False,False,False,True,"6,79",64994,17842,FALSE,FALSE,0,0,0,1,0,0,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['gül'],['pamuk']
8,içki,alkol,"7,75","9,083333333",True,False,True,False,True,False,False,False,"6,44",16126,16236,FALSE,FALSE,0,0,1,0,0,1,0,4,4,4,1,0,1,0,0,0,1,1,False,False,['içki'],['alkol']
9,köle,serbest,"0,333333333","6,5",False,True,True,False,False,True,False,False,,3000,87614,FALSE,FALSE,0,1,1,0,0,0,0,3,5,3,0,0,0,0,0,0,1,1,False,False,['köle'],['serbest']
10,saray,pıhtı,"0,333333333","0,166666667",False,True,False,True,False,False,False,True,"6,56",21135,325,FALSE,FALSE,0,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,1,2,False,True,['saray'],"['p', '##ıhtı']"
11,affedişi,bağışlayışı,"9,083333333",9,True,False,True,False,True,False,False,False,,1,0,TRUE,FALSE,1,0,1,0,0,0,0,1,0,0,2,2,2,1,1,1,2,3,True,True,"['affed', '##işi']","['bağış', '##layış', '##ı']"
12,sofra,zeytin,"1,75","7,166666667",False,True,True,False,False,True,False,False,"6,37",2120,7488,FALSE,FALSE,0,0,0,1,0,0,1,3,4,3,0,0,0,0,0,0,1,1,False,False,['sofra'],['zeytin']
13,eşya,gözlük,"2,333333333",6,False,True,True,False,False,True,False,False,"6,56",18174,3238,FALSE,FALSE,0,0,0,1,0,1,0,4,3,3,0,1,1,0,0,0,1,1,False,False,['eşya'],['gözlük']
14,meslek,mühendis,"2,416666667","6,916666667",False,True,True,False,False,True,False,False,,63185,7509,FALSE,FALSE,0,0,0,1,0,1,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['meslek'],['mühendis']
15,savunmaktaydılar,korumaktaydılar,"8,166666667","8,5",True,False,True,False,True,False,False,False,,5,2,FALSE,FALSE,1,0,1,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,True,True,"['savunmak', '##taydı', '##lar']","['korumak', '##taydı', '##lar']"
16,peynir,ipek,"0,833333333","0,5",False,True,False,True,False,False,False,True,"6,88",7434,10942,FALSE,FALSE,0,0,0,0,1,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['peynir'],['ipek']
17,turizm,seyahat,"4,5","8,25",False,True,True,False,False,True,False,False,"3,28",55821,15936,FALSE,FALSE,0,0,1,0,0,0,0,5,4,4,1,0,1,0,0,0,1,1,False,False,['turizm'],['seyahat']
18,tıknaz,uyumlu,"0,166666667","0,833333333",False,True,False,True,False,False,False,True,,124,18774,FALSE,FALSE,0,0,0,0,1,0,0,2,4,2,0,1,1,0,0,0,2,1,True,False,"['tık', '##naz']",['uyumlu']
19,kemalci,atatürkist,"8,75","9,636363636",True,False,True,False,True,False,False,False,,59,0,TRUE,FALSE,1,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,2,2,True,True,"['kemal', '##ci']","['atatürk', '##ist']"
20,polis,yardım,"3,333333333","7,583333333",False,True,True,False,False,True,False,False,"6,55",93497,100548,FALSE,FALSE,0,0,0,1,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['polis'],['yardım']
21,gürültü,otobüs,"0,916666667",5,False,True,True,False,False,True,False,False,"5,29",6332,15906,FALSE,FALSE,0,0,0,1,0,0,0,4,4,4,2,0,2,0,0,0,1,1,False,False,['gürültü'],['otobüs']
22,temiz,titiz,"7,833333333","9,166666667",True,False,True,False,True,False,False,False,"3,89",23343,4640,FALSE,FALSE,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['temiz'],['titiz']
23,kitaplıklar,kitap,"3,5","8,75",False,True,True,False,False,True,False,False,,84,70642,FALSE,FALSE,0,0,1,0,0,0,1,2,5,2,1,0,1,1,0,1,2,1,True,False,"['kitap', '##lıklar']",['kitap']
24,böcek,karınca,"3,5","7,333333333",False,True,True,False,False,True,False,False,,2994,2158,FALSE,FALSE,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,1,1,False,False,['böcek'],['karınca']
25,gazete,kitap,"4,916666667","7,166666667",False,True,True,False,False,True,False,False,"6,81",49607,70642,FALSE,FALSE,0,0,0,1,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['gazete'],['kitap']
26,okul,kordon,"0,25","1,083333333",False,True,False,True,False,False,False,True,"6,6",55774,1701,FALSE,FALSE,0,0,0,0,1,0,0,5,3,3,0,0,0,0,0,0,1,2,False,True,['okul'],"['kor', '##don']"
27,ibadet,oruç,"5,416666667","8,25",True,False,True,False,True,False,False,False,"2,67",5116,7029,FALSE,FALSE,0,0,1,0,0,1,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['ibadet'],['oruç']
28,varlık,hayvan,"2,416666667","5,5",False,True,True,False,False,True,False,False,"3,78",14909,22519,FALSE,FALSE,0,0,0,1,0,1,0,4,4,4,1,0,1,0,0,0,1,1,False,False,['varlık'],['hayvan']
29,tüketim,üretim,"0,25","8,5",False,True,True,False,False,True,False,False,"3,73",24279,70594,FALSE,FALSE,0,1,1,0,0,0,0,4,5,4,1,1,1,0,0,0,1,1,False,False,['tüketim'],['üretim']
30,sihirbaz,büyücü,"7,583333333","7,333333333",True,False,True,False,True,False,False,False,,943,922,FALSE,FALSE,1,0,0,1,0,0,0,3,3,3,1,1,1,0,0,0,2,2,True,True,"['sihir', '##baz']","['büyü', '##cü']"
31,giysi,gömlek,"4,333333333","7,416666667",False,True,True,False,False,True,False,False,"6,54",2773,4340,FALSE,FALSE,0,0,0,1,0,1,0,3,4,3,1,0,1,0,0,0,1,1,False,False,['giysi'],['gömlek']
32,hayvan,tavuk,"3,333333333","7,25",False,True,True,False,False,True,False,False,"6,49",22519,11603,FALSE,FALSE,0,0,0,1,0,1,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['hayvan'],['tavuk']
33,sevgili,çiçek,"1,166666667","6,5",False,True,True,False,False,True,False,False,"4,69",37193,33522,FALSE,FALSE,0,0,1,0,0,0,0,5,5,5,1,0,1,0,0,0,1,1,False,False,['sevgili'],['çiçek']
34,turizm,ekonomi,2,"5,833333333",False,True,True,False,False,True,False,False,"3,28",55821,72584,FALSE,FALSE,0,0,1,0,0,0,0,5,5,5,1,0,1,0,0,0,1,1,False,False,['turizm'],['ekonomi']
35,eski,yeni,"0,166666667",9,False,True,True,False,False,True,False,False,,249377,770145,FALSE,FALSE,0,1,1,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['eski'],['yeni']
36,yüzük,sevgili,"1,416666667","6,083333333",False,True,True,False,False,True,False,False,"6,81",3197,37193,FALSE,FALSE,0,0,0,1,0,0,0,3,5,3,0,1,1,0,0,0,1,1,False,False,['yüzük'],['sevgili']
37,primatçaları,maymunsuları,"6,333333333","8,166666667",True,False,True,False,True,False,False,False,,0,0,TRUE,TRUE,1,0,1,0,0,0,0,0,0,0,1,2,2,2,2,2,4,3,True,True,"['prim', '##at', '##ça', '##ları']","['maymun', '##sul', '##arı']"
38,bilimci,faiz,"0,25","0,333333333",False,True,False,True,False,False,False,True,"5,46",1213,96787,FALSE,FALSE,0,0,0,0,1,0,0,3,5,3,2,0,2,0,0,0,2,1,True,False,"['bilim', '##ci']",['faiz']
39,gündüz,öğle,"4,5","8,166666667",False,True,True,False,False,True,False,False,,16396,14001,FALSE,FALSE,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['gündüz'],['öğle']
40,otomobil,taksi,"5,833333333","8,583333333",True,False,True,False,True,False,False,False,,46731,7692,FALSE,FALSE,0,0,1,0,0,1,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['otomobil'],['taksi']
41,çare,sos,1,"1,25",False,True,False,True,False,False,False,True,,12319,2820,FALSE,FALSE,0,0,0,0,1,0,0,4,3,3,0,0,0,0,0,0,1,1,False,False,['çare'],['sos']
42,evrensel,sos,"0,583333333","0,916666667",False,True,False,True,False,False,False,True,"2,2",15287,2820,FALSE,FALSE,0,0,0,0,1,0,0,4,3,3,1,0,1,0,0,0,1,1,False,False,['evrensel'],['sos']
43,viski,varlık,"0,833333333","0,833333333",False,True,False,True,False,False,False,True,"6,83",1693,14909,FALSE,FALSE,0,0,0,1,0,0,0,3,4,3,0,1,1,0,0,0,2,1,True,False,"['v', '##iski']",['varlık']
44,alacaklanmak,tabure,"0,25","0,083333333",False,True,False,True,False,False,False,True,,0,136,TRUE,FALSE,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,1,2,2,True,True,"['alacak', '##lanmak']","['tabur', '##e']"
45,sebze,enginar,"3,583333333","7,25",False,True,True,False,False,True,False,False,"6,71",12357,1068,FALSE,FALSE,0,0,0,1,0,1,0,4,3,3,0,0,0,0,0,0,1,2,False,True,['sebze'],"['engin', '##ar']"
46,damar,rahatsız,"0,583333333","3,75",False,True,False,True,False,False,False,True,"6,52",15392,35800,FALSE,FALSE,0,0,0,1,0,0,0,4,5,4,0,1,1,0,0,0,1,1,False,False,['damar'],['rahatsız']
47,öğrenci,yağcılık,"0,416666667",4,False,True,False,True,False,False,False,True,"6,18",67682,163,FALSE,FALSE,0,0,0,1,0,0,0,5,2,2,1,2,2,0,0,0,1,2,False,True,['öğrenci'],"['yağ', '##cılık']"
48,bitki,sebze,"3,666666667","7,333333333",False,True,True,False,False,True,False,False,"6,6",11980,12357,FALSE,FALSE,0,0,0,1,0,0,1,4,4,4,0,0,0,0,0,0,1,1,False,False,['bitki'],['sebze']
49,zarar,tımarhane,"0,333333333","1,083333333",False,True,False,True,False,False,False,True,"2,41",70292,113,FALSE,FALSE,0,0,0,0,1,0,0,5,2,2,0,1,1,0,0,0,1,3,False,True,['zarar'],"['t', '##ımar', '##hane']"
50,kelebek,eski,"0,166666667","0,083333333",False,True,False,True,False,False,False,True,"6,8",3657,249377,FALSE,FALSE,0,0,0,0,1,0,0,4,5,4,0,0,0,0,0,0,1,1,False,False,['kelebek'],['eski']
51,zaman,gündüz,"2,5","7,166666667",False,True,True,False,False,True,False,False,"2,19",495060,16396,FALSE,FALSE,0,0,0,1,0,1,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['zaman'],['gündüz']
52,meslek,polis,"2,833333333","7,083333333",False,True,True,False,False,True,False,False,,63185,93497,FALSE,FALSE,0,0,0,1,0,1,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['meslek'],['polis']
53,su,yağmur,"4,25",8,False,True,True,False,False,True,False,False,"6,8",129707,22203,FALSE,FALSE,0,0,1,0,0,0,1,5,4,4,0,0,0,0,0,0,1,1,False,False,['su'],['yağmur']
54,nefes,soyut,"0,666666667","0,833333333",False,True,False,True,False,False,False,True,"5,68",20542,4801,FALSE,FALSE,0,0,0,0,1,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['nefes'],['soyut']
55,yedigen,aykırı,"0,25","0,416666667",False,True,False,True,False,False,False,True,,0,41324,TRUE,FALSE,0,0,0,0,1,0,0,0,5,0,1,0,1,0,0,0,2,1,True,False,"['yedi', '##gen']",['aykırı']
56,titiz,pimpirikli,"6,25","6,833333333",True,False,True,False,True,False,False,False,"2,48",4640,25,FALSE,FALSE,1,0,1,0,0,0,0,4,1,1,0,1,1,0,0,0,1,4,False,True,['titiz'],"['pi', '##m', '##pir', '##ikli']"
57,fotoğraf,karton,1,"3,833333333",False,True,False,True,False,False,False,True,"6,62",80225,1467,FALSE,FALSE,0,0,0,1,0,0,0,5,3,3,0,0,0,0,0,0,1,1,False,False,['fotoğraf'],['karton']
58,tutsak,serbest,"0,25","8,416666667",False,True,True,False,False,True,False,False,,1783,87614,FALSE,FALSE,0,1,0,1,0,0,0,3,5,3,1,0,1,0,0,0,1,1,False,False,['tutsak'],['serbest']
59,fazlalık,ısınmış,"0,166666667","1,333333333",False,True,False,True,False,False,False,True,"3,99",1000,273,FALSE,FALSE,0,0,0,0,1,0,0,3,2,2,1,2,2,0,0,0,2,2,True,True,"['fazla', '##lık']","['ısın', '##mış']"
60,laikçiler,tepe,"0,25","0,454545455",False,True,False,True,False,False,False,True,,66,7356,FALSE,FALSE,0,0,0,0,1,0,0,2,4,2,2,0,2,0,0,0,2,1,True,False,"['laik', '##çiler']",['tepe']
61,suçlu,bağışlayışı,"0,416666667","6,25",False,True,True,False,False,True,False,False,"4,69",13535,0,TRUE,FALSE,0,0,1,0,0,0,0,4,0,0,1,2,2,0,1,1,1,3,False,True,['suçlu'],"['bağış', '##layış', '##ı']"
62,serbest,radyo,"0,166666667","1,727272727",False,True,False,True,False,False,False,True,"2,09",87614,31478,FALSE,FALSE,0,0,0,0,1,0,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['serbest'],['radyo']
63,uzun,tıknaz,"0,166666667","4,333333333",False,True,False,True,False,False,False,True,,230525,124,FALSE,FALSE,0,1,1,0,0,0,0,5,2,2,0,0,0,0,0,0,1,2,False,True,['uzun'],"['tık', '##naz']"
64,kan,pıhtı,"2,916666667","7,833333333",False,True,True,False,False,True,False,False,"6,7",54264,325,FALSE,FALSE,0,0,0,1,0,0,0,5,2,2,0,0,0,0,0,0,1,2,False,True,['kan'],"['p', '##ıhtı']"
65,delilim,ispatım,"9,166666667","9,5",True,False,True,False,True,False,False,False,,11,5,FALSE,FALSE,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,2,2,True,True,"['delil', '##im']","['ispat', '##ım']"
66,erkekçene,eksik,"0,166666667","0,5",False,True,False,True,False,False,False,True,,1,29303,FALSE,FALSE,0,0,0,0,1,0,0,1,4,1,2,1,2,0,0,0,3,1,True,False,"['erkek', '##çe', '##ne']",['eksik']
67,delilim,deli,"0,666666667","0,833333333",False,True,False,True,False,False,False,True,,11,15669,FALSE,FALSE,0,0,0,0,1,0,0,1,4,1,0,0,0,1,0,1,2,1,True,False,"['delil', '##im']",['deli']
68,üşengeç,üşengen,"8,25","7,833333333",True,False,True,False,True,False,False,False,"3,06",47,0,TRUE,FALSE,1,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,3,3,True,True,"['üş', '##en', '##geç']","['üş', '##en', '##gen']"
69,gül,dostçasına,"0,25","2,083333333",False,True,False,True,False,False,False,True,"6,79",64994,0,TRUE,FALSE,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,3,False,True,['gül'],"['dost', '##çası', '##na']"
70,kum,karınca,"1,166666667","4,5",False,True,False,True,False,False,False,True,"6,62",6726,2158,FALSE,FALSE,0,0,0,1,0,0,0,4,3,3,0,0,0,0,0,0,1,1,False,False,['kum'],['karınca']
71,tutsak,köle,7,"9,25",True,False,True,False,True,False,False,False,,1783,3000,FALSE,FALSE,1,0,1,0,0,0,0,3,3,3,1,0,1,0,0,0,1,1,False,False,['tutsak'],['köle']
72,kazanç,aykırı,"0,166666667","0,666666667",False,True,False,True,False,False,False,True,"4,1",12123,41324,FALSE,FALSE,0,0,0,0,1,0,0,4,5,4,1,0,1,0,0,0,1,1,False,False,['kazanç'],['aykırı']
73,içki,viski,"4,25","8,583333333",False,True,True,False,False,True,False,False,"6,44",16126,1693,FALSE,FALSE,0,0,1,0,0,1,0,4,3,3,1,0,1,0,0,0,1,2,False,True,['içki'],"['v', '##iski']"
74,üşengen,yedigen,"0,166666667","0,25",False,True,False,True,False,False,False,True,0,0,0,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,2,True,True,"['üş', '##en', '##gen']","['yedi', '##gen']"
75,mutfak,kahvaltı,2,"7,083333333",False,True,True,False,False,True,False,False,"6,75",9902,6430,FALSE,FALSE,0,0,0,1,0,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['mutfak'],['kahvaltı']
76,çamaşır,külot,"4,75",8,False,True,True,False,False,True,False,False,,4839,291,FALSE,FALSE,1,0,1,0,0,1,0,4,2,2,0,0,0,0,0,0,1,2,False,True,['çamaşır'],"['kül', '##ot']"
77,yorgun,yorgunluk,"4,916666667","8,916666667",False,True,True,False,False,True,False,False,"3,41",7932,4796,FALSE,FALSE,0,0,1,0,0,0,0,4,4,4,1,2,2,0,0,0,1,1,False,False,['yorgun'],['yorgunluk']
78,transparan,kemik,"0,166666667","0,583333333",False,True,False,True,False,False,False,True,,597,9289,FALSE,FALSE,0,0,0,0,1,0,1,3,4,3,0,0,0,0,0,0,3,1,True,False,"['trans', '##para', '##n']",['kemik']
79,muz,yoğurt,"1,166666667","3,416666667",False,True,False,True,False,False,False,True,"6,92",2917,5450,FALSE,FALSE,0,0,0,1,0,0,0,3,4,3,0,0,0,0,0,0,1,1,False,False,['muz'],['yoğurt']
80,damar,kan,"2,333333333","8,416666667",False,True,True,False,False,True,False,False,"6,52",15392,54264,FALSE,FALSE,0,0,1,0,0,0,1,4,5,4,0,0,0,0,0,0,1,1,False,False,['damar'],['kan']
81,ilkellik,cenin,"0,333333333","1,416666667",False,True,False,True,False,False,False,True,,167,1560,FALSE,FALSE,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,2,2,True,True,"['ilkel', '##lik']","['cen', '##in']"
82,temiz,kirlice,"0,25","7,333333333",False,True,True,False,False,True,False,False,"3,89",23343,0,TRUE,FALSE,0,1,1,0,0,0,0,4,0,0,0,1,1,0,0,0,1,2,False,True,['temiz'],"['kirli', '##ce']"
83,modernite,öncülük,"1,916666667","5,333333333",False,True,True,False,False,True,False,False,,560,4570,FALSE,FALSE,0,0,0,1,0,0,0,3,4,3,0,2,2,0,0,0,2,1,True,False,"['modern', '##ite']",['öncülük']
84,peşinatsız,borçlanmak,"1,416666667",6,False,True,True,False,False,True,False,False,"3,83",127,528,FALSE,FALSE,0,0,1,0,0,0,0,2,3,2,2,1,2,0,1,1,3,2,True,True,"['peşin', '##ats', '##ız']","['borçlanma', '##k']"
85,öğrenci,kitap,"1,416666667","7,333333333",False,True,True,False,False,True,False,False,"6,18",67682,70642,FALSE,FALSE,0,0,1,0,0,0,0,5,5,5,1,0,1,0,0,0,1,1,False,False,['öğrenci'],['kitap']
86,mühendis,bilişim,"2,333333333","6,833333333",False,True,True,False,False,True,False,False,"5,49",7509,19208,FALSE,FALSE,0,0,0,1,0,0,0,4,4,4,0,2,2,0,0,0,1,1,False,False,['mühendis'],['bilişim']
87,zeki,çocuk,"0,833333333","5,25",False,True,True,False,False,True,False,False,"2,29",25139,137866,FALSE,FALSE,0,0,0,1,0,0,0,4,5,4,0,0,0,0,0,0,1,1,False,False,['zeki'],['çocuk']
88,avare,başıboş,"8,416666667","9,25",True,False,True,False,True,False,False,False,"3,07",460,1234,FALSE,FALSE,1,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,2,3,True,True,"['av', '##are']","['başı', '##bo', '##ş']"
89,tren,inançlılık,"0,166666667","0,166666667",False,True,False,True,False,False,False,True,"6,9",14751,6,FALSE,FALSE,0,0,0,0,1,0,0,4,1,1,0,2,2,0,0,0,1,2,False,True,['tren'],"['inanç', '##lılık']"
90,mücevher,şahane,"0,5","2,75",False,True,False,True,False,False,False,True,,2332,3655,FALSE,FALSE,0,0,0,1,0,0,0,3,4,3,0,0,0,0,0,0,1,1,False,False,['mücevher'],['şahane']
91,başladılarsa,bitirdilerse,"0,083333333","7,916666667",False,True,True,False,False,True,False,False,,19,5,FALSE,FALSE,0,1,1,0,0,0,0,1,1,1,0,1,1,2,0,2,2,2,True,True,"['başladılar', '##sa']","['bitirdi', '##lerse']"
92,keşiş,köle,"0,583333333","1,833333333",False,True,False,True,False,False,False,True,,306,3000,FALSE,FALSE,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,2,1,True,False,"['keş', '##iş']",['köle']
93,palto,ceket,"6,75",8,True,False,True,False,True,False,False,False,"6,77",855,2581,FALSE,FALSE,1,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,2,1,True,False,"['pal', '##to']",['ceket']
94,oksijen,su,2,"7,666666667",False,True,True,False,False,True,False,False,"5,69",6174,129707,FALSE,FALSE,0,0,0,1,0,0,0,4,5,4,0,0,0,0,0,0,1,1,False,False,['oksijen'],['su']
95,taşıt,tren,"3,583333333","8,166666667",False,True,True,False,False,True,False,False,"6,63",10701,14751,FALSE,FALSE,0,0,0,1,0,1,0,4,4,4,1,0,1,0,0,0,1,1,False,False,['taşıt'],['tren']
96,kıyı,tepe,"0,916666667","4,083333333",False,True,False,True,False,False,False,True,,5868,7356,FALSE,FALSE,0,0,0,1,0,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['kıyı'],['tepe']
97,adalet,vicdan,"2,833333333","6,5",False,True,True,False,False,True,False,False,,59379,5873,FALSE,FALSE,0,0,0,1,0,0,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['adalet'],['vicdan']
98,rahatsız,alışkın,"0,166666667","4,416666667",False,True,False,True,False,False,False,True,,35800,1678,FALSE,FALSE,0,0,0,1,0,0,0,5,3,3,1,2,2,0,0,0,1,2,False,True,['rahatsız'],"['alış', '##kın']"
99,kavramsallaştırsın,soyut,1,"4,818181818",False,True,False,True,False,False,False,True,,0,4801,TRUE,FALSE,0,0,1,0,0,0,0,0,4,0,2,0,2,1,0,1,4,1,True,False,"['kavram', '##sal', '##laştır', '##sın']",['soyut']
100,hayat,fani,"1,583333333","7,083333333",False,True,True,False,False,True,False,False,3,65846,1028,FALSE,FALSE,0,0,1,0,0,0,0,5,3,3,0,0,0,0,0,0,1,2,False,True,['hayat'],"['fan', '##i']"
