model,model_name,layer,pooling,category,vowel_class,n,mean_sim_same_root,mean_sim_same_suffix,mean_delta,ci95_low,ci95_high,wilcoxon_p
BERTurk,dbmdz/bert-base-turkish-cased,1,first,inflectional,ince,15,0.653992126024692,0.38889664711161814,0.265095478913074,0.21700357696820244,0.30965323105453446,6.103515625e-05
BERTurk,dbmdz/bert-base-turkish-cased,1,first,inflectional,kalın,15,0.7909366312398863,0.38544665925341653,0.40548997198646985,0.2916845966518429,0.516118330654952,6.103515625e-05
BERTurk,dbmdz/bert-base-turkish-cased,1,first,light_deriv,ince,10,0.697873330867406,0.3662683139014561,0.33160501696594985,0.21493824646004778,0.44535063973944805,0.001953125
BERTurk,dbmdz/bert-base-turkish-cased,1,first,light_deriv,kalın,10,0.8683233714861842,0.3727454085556194,0.4955779629305649,0.3928723854770899,0.601899384813246,0.001953125
BERTurk,dbmdz/bert-base-turkish-cased,1,first,strong_deriv,ince,5,0.743172201099173,0.38116244052560155,0.36200976057357154,0.26634405347393936,0.48109234816266977,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,first,strong_deriv,kalın,5,0.801964628996996,0.39075523066886825,0.41120939832812786,0.3142086289912225,0.5433774192051269,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,last,inflectional,ince,15,0.4296446908931878,0.46662975255823447,-0.03698506166504662,-0.20154041365566444,0.1306071619371368,1.0
BERTurk,dbmdz/bert-base-turkish-cased,1,last,inflectional,kalın,15,0.6151376252998576,0.5068741869268517,0.10826343837300609,-0.03936415204510991,0.22127896407210576,0.083251953125
BERTurk,dbmdz/bert-base-turkish-cased,1,last,light_deriv,ince,10,0.39631651918085586,0.706782456691651,-0.31046593751079515,-0.5520369262524097,-0.06631010175064642,0.083984375
BERTurk,dbmdz/bert-base-turkish-cased,1,last,light_deriv,kalın,10,0.3966926611107823,0.7846738764084312,-0.38798121529764884,-0.5377612084942331,-0.23457172394283268,0.005859375
BERTurk,dbmdz/bert-base-turkish-cased,1,last,strong_deriv,ince,5,0.29717015329865387,0.7487485679639464,-0.4515784146652925,-0.5975739473727566,-0.26079885003596165,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,last,strong_deriv,kalın,5,0.3303331715920277,0.7659549937604759,-0.43562182216844825,-0.5364028574654404,-0.2844759421573857,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,inflectional,ince,15,0.6060974672093449,0.4575643755814328,0.14853309162791214,0.0972325211952019,0.19331704792881824,0.00030517578125
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,inflectional,kalın,15,0.7319884562762551,0.4958391757243995,0.23614928055185572,0.18513720046291282,0.29191920763157764,6.103515625e-05
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,light_deriv,ince,10,0.6203441532316202,0.5810085346504765,0.039335618581143594,-0.012116942232022325,0.09683769174862511,0.193359375
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,light_deriv,kalın,10,0.738200294260668,0.6289412641002213,0.1092590301604468,0.01880913684191218,0.1993610886630802,0.064453125
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,strong_deriv,ince,5,0.6323918485865752,0.6213297077550236,0.011062140831551593,-0.05591849958383845,0.08615882187418511,1.0
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,strong_deriv,kalın,5,0.6778252930817749,0.6274612773638832,0.05036401571789162,0.008535378290417329,0.09556993900615932,0.125
BERTurk,dbmdz/bert-base-turkish-cased,1,max,inflectional,ince,15,0.542560720109117,0.43261194551128845,0.1099487745978285,0.028460139327242572,0.19331732396813878,0.04791259765625
BERTurk,dbmdz/bert-base-turkish-cased,1,max,inflectional,kalın,15,0.7181272779878689,0.45432062837556997,0.26380664961229905,0.19971700651229482,0.33250454794402706,6.103515625e-05
BERTurk,dbmdz/bert-base-turkish-cased,1,max,light_deriv,ince,10,0.5457406843545306,0.5556063792722095,-0.00986569491767877,-0.11770874144521332,0.09717051578777963,0.845703125
BERTurk,dbmdz/bert-base-turkish-cased,1,max,light_deriv,kalın,10,0.6397386903399556,0.6407635360879006,-0.0010248457479451688,-0.12196815477359388,0.13432933089966276,1.0
BERTurk,dbmdz/bert-base-turkish-cased,1,max,strong_deriv,ince,5,0.5311745994076205,0.6431583253850894,-0.11198372597746897,-0.19635486787296813,-0.02084567444726726,0.1875
BERTurk,dbmdz/bert-base-turkish-cased,1,max,strong_deriv,kalın,5,0.5779866441673062,0.6397095836207377,-0.06172293945343159,-0.13075722691557232,0.0024027785110246214,0.4375
BERTurk,dbmdz/bert-base-turkish-cased,7,first,inflectional,ince,15,0.7766714808222527,0.7547358355558755,0.02193564526637714,-0.05770227504133871,0.09618765669539084,0.5994873046875
BERTurk,dbmdz/bert-base-turkish-cased,7,first,inflectional,kalın,15,0.8417018798706641,0.6967543186722845,0.14494756119837957,0.06931248290539421,0.2159758517404432,0.00836181640625
BERTurk,dbmdz/bert-base-turkish-cased,7,first,light_deriv,ince,10,0.7557554806039436,0.6656030574164775,0.09015242318746602,0.035605410683375284,0.1545925740009292,0.001953125
BERTurk,dbmdz/bert-base-turkish-cased,7,first,light_deriv,kalın,10,0.7622575955832066,0.6709491543056224,0.09130844127758433,0.002946448443432322,0.18733531852204413,0.375
BERTurk,dbmdz/bert-base-turkish-cased,7,first,strong_deriv,ince,5,0.7158102699503432,0.7360686857334743,-0.02025841578313099,-0.06815416986582497,0.028239591455759987,0.4375
BERTurk,dbmdz/bert-base-turkish-cased,7,first,strong_deriv,kalın,5,0.72703422616699,0.7434999983470076,-0.016465772180017678,-0.09972267148225349,0.07005308383090084,1.0
BERTurk,dbmdz/bert-base-turkish-cased,7,last,inflectional,ince,15,0.750704457684003,0.8075295908937108,-0.05682513320970792,-0.13719486986988608,0.027260343225356275,0.30279541015625
BERTurk,dbmdz/bert-base-turkish-cased,7,last,inflectional,kalın,15,0.8066486402609183,0.7752271187704491,0.03142152149046918,-0.026831103972867268,0.09323172458430562,0.42120361328125
BERTurk,dbmdz/bert-base-turkish-cased,7,last,light_deriv,ince,10,0.7300977891896628,0.8126039568695342,-0.08250616767987147,-0.18357130520381829,0.033274439756396386,0.232421875
BERTurk,dbmdz/bert-base-turkish-cased,7,last,light_deriv,kalın,10,0.7263807113830081,0.8340874275788923,-0.10770671619588423,-0.18274956342377305,-0.03618340745302673,0.037109375
BERTurk,dbmdz/bert-base-turkish-cased,7,last,strong_deriv,ince,5,0.6988426330771863,0.875948580039387,-0.17710594696220078,-0.233349182743169,-0.11955211356237128,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,7,last,strong_deriv,kalın,5,0.704452680224481,0.8456242283948351,-0.14117154817035402,-0.19466224646975808,-0.09897606021874057,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,inflectional,ince,15,0.806053218488944,0.8127328131862054,-0.006679594697261493,-0.05513474039515812,0.046171144763120835,0.803955078125
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,inflectional,kalın,15,0.8328369288138429,0.7859858785749937,0.04685105023884938,0.0012252888236267395,0.0898922507107082,0.072998046875
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,light_deriv,ince,10,0.7957151992759248,0.7841094384007035,0.011605760875221383,-0.035427768232592305,0.07149806994530332,0.625
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,light_deriv,kalın,10,0.8130404823097541,0.7978100083234205,0.015230473986333638,-0.04101824649991577,0.07497614186764745,0.625
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,strong_deriv,ince,5,0.7935915780829129,0.8462024718365946,-0.052610893753681734,-0.08942080421113818,-0.009432764877222785,0.125
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,strong_deriv,kalın,5,0.7864239849993335,0.8273724230031381,-0.040948438003804544,-0.07951690686446469,-0.002548765227384386,0.1875
BERTurk,dbmdz/bert-base-turkish-cased,7,max,inflectional,ince,15,0.7644521378321062,0.7871915767245485,-0.022739438892442485,-0.10505424666470692,0.05482974317544678,0.5994873046875
BERTurk,dbmdz/bert-base-turkish-cased,7,max,inflectional,kalın,15,0.8298191653341058,0.7433277185897029,0.08649144674440283,0.028113472896658255,0.14972969281521514,0.041259765625
BERTurk,dbmdz/bert-base-turkish-cased,7,max,light_deriv,ince,10,0.7466984198104406,0.7512690665590132,-0.004570646748572493,-0.08886709683290865,0.08323150649871347,0.6953125
BERTurk,dbmdz/bert-base-turkish-cased,7,max,light_deriv,kalın,10,0.749159808654904,0.7873831026630999,-0.03822329400819583,-0.12066970386635982,0.03958786427435709,0.375
BERTurk,dbmdz/bert-base-turkish-cased,7,max,strong_deriv,ince,5,0.7123513722955347,0.8324508597322483,-0.12009948743671355,-0.1626093247401304,-0.06815258656518357,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,7,max,strong_deriv,kalın,5,0.7237688112495879,0.8196507456343104,-0.09588193438472255,-0.16881137462808182,-0.02068290868477114,0.1875
BERTurk,dbmdz/bert-base-turkish-cased,12,first,inflectional,ince,15,0.7745511487172719,0.7429330956346405,0.03161805308263148,-0.047405645602260224,0.12441138236784795,0.5614013671875
BERTurk,dbmdz/bert-base-turkish-cased,12,first,inflectional,kalın,15,0.7662317649361295,0.668103404823724,0.09812836011240543,0.026761256831197674,0.16847704905277858,0.05535888671875
BERTurk,dbmdz/bert-base-turkish-cased,12,first,light_deriv,ince,10,0.7281437854322756,0.6555542454871492,0.0725895399451265,-0.004332055375004217,0.17231453681344053,0.232421875
BERTurk,dbmdz/bert-base-turkish-cased,12,first,light_deriv,kalın,10,0.6800578453103364,0.6536992557720367,0.026358589538299716,-0.0638596388204059,0.1288309644028194,0.6953125
BERTurk,dbmdz/bert-base-turkish-cased,12,first,strong_deriv,ince,5,0.6854081641926192,0.6829621201182795,0.0024460440743396816,-0.03596531325135897,0.051327352229908765,0.8125
BERTurk,dbmdz/bert-base-turkish-cased,12,first,strong_deriv,kalın,5,0.669346265432701,0.7049855929930232,-0.035639327560322176,-0.09167215773775317,0.020393502617108816,0.3125
BERTurk,dbmdz/bert-base-turkish-cased,12,last,inflectional,ince,15,0.7548149253278598,0.7775007724265103,-0.022685847098650447,-0.11777229556722374,0.07797582532316616,0.638671875
BERTurk,dbmdz/bert-base-turkish-cased,12,last,inflectional,kalın,15,0.8139210772311439,0.7468595905724711,0.06706148665867281,0.02209926774905261,0.115838358470932,0.01806640625
BERTurk,dbmdz/bert-base-turkish-cased,12,last,light_deriv,ince,10,0.7692607621002804,0.7689472996948667,0.00031346240541347826,-0.0864473804605271,0.09283757077436407,0.76953125
BERTurk,dbmdz/bert-base-turkish-cased,12,last,light_deriv,kalın,10,0.7677371122156191,0.7734611660940598,-0.005724053878440527,-0.08784834318981684,0.07799499280609988,0.921875
BERTurk,dbmdz/bert-base-turkish-cased,12,last,strong_deriv,ince,5,0.7365071435691638,0.8231268736528314,-0.0866197300836675,-0.13160045390384054,-0.019512321749101114,0.125
BERTurk,dbmdz/bert-base-turkish-cased,12,last,strong_deriv,kalın,5,0.7440727479120974,0.8048263853684203,-0.060753637456322715,-0.11712226477341707,3.946792010849084e-05,0.1875
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,inflectional,ince,15,0.7945004101135142,0.7836227314661746,0.010877678647339677,-0.060064363040865515,0.084627919423249,0.93408203125
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,inflectional,kalın,15,0.8167421445934929,0.7498971984744202,0.06684494611907284,0.031023025785205695,0.10828694958750101,0.00152587890625
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,light_deriv,ince,10,0.7989209205946779,0.7481531078960605,0.05076781269861748,-0.003799080008449664,0.12402309261338905,0.322265625
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,light_deriv,kalın,10,0.7929900172133089,0.7532804698988224,0.03970954731448654,-0.03244547250881322,0.10916022869572788,0.431640625
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,strong_deriv,ince,5,0.7826228223727513,0.7942524884261817,-0.011629666053430321,-0.054912900171722054,0.05016508311320862,0.625
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,strong_deriv,kalın,5,0.7815864759981048,0.7963212055681577,-0.01473472957005284,-0.04662759633986922,0.0183366129617585,0.625
BERTurk,dbmdz/bert-base-turkish-cased,12,max,inflectional,ince,15,0.7629255268107875,0.7652814191451424,-0.002355892334354855,-0.09111778016441059,0.08729813450096305,0.76153564453125
BERTurk,dbmdz/bert-base-turkish-cased,12,max,inflectional,kalın,15,0.8071021753635909,0.7098910445681746,0.09721113079541623,0.04513963287748806,0.15853480290119124,0.0042724609375
BERTurk,dbmdz/bert-base-turkish-cased,12,max,light_deriv,ince,10,0.7490778658917071,0.7209472213704053,0.028130644521301783,-0.05219357974078864,0.13463254346172565,1.0
BERTurk,dbmdz/bert-base-turkish-cased,12,max,light_deriv,kalın,10,0.7254032624163491,0.7411419236857617,-0.01573866126941249,-0.10936885079504928,0.06558317023039957,0.845703125
BERTurk,dbmdz/bert-base-turkish-cased,12,max,strong_deriv,ince,5,0.7172624231958155,0.7821944781408957,-0.06493205494508025,-0.10148684347015638,-0.02784851194686806,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,12,max,strong_deriv,kalın,5,0.7221531090078747,0.7797808911041836,-0.05762778209630868,-0.09796278710124298,-0.011733863217659702,0.125
mBERT,bert-base-multilingual-cased,1,first,inflectional,ince,15,0.9939440892763876,0.35247883311317857,0.6414652561632088,0.5753258726508835,0.6927294083170769,6.103515625e-05
mBERT,bert-base-multilingual-cased,1,first,inflectional,kalın,15,0.9856964018434553,0.3428233211114418,0.6428730807320135,0.625660723342416,0.6588381852366311,6.103515625e-05
mBERT,bert-base-multilingual-cased,1,first,light_deriv,ince,10,0.9878445606513677,0.34657030620447665,0.6412742544468912,0.5644237049472844,0.6989141516706895,0.001953125
mBERT,bert-base-multilingual-cased,1,first,light_deriv,kalın,10,0.9507638137961463,0.341451270958402,0.6093125428377444,0.5586733554324599,0.6543391515043158,0.001953125
mBERT,bert-base-multilingual-cased,1,first,strong_deriv,ince,5,0.9871361967787543,0.34163640395124695,0.6454997928275074,0.5479517954516626,0.7143963030403943,0.0625
mBERT,bert-base-multilingual-cased,1,first,strong_deriv,kalın,5,0.948688276873289,0.30863793744621637,0.6400503394270728,0.5811420239359357,0.6856947239553192,0.0625
mBERT,bert-base-multilingual-cased,1,last,inflectional,ince,15,0.3683875537862339,0.7221366840707345,-0.35374913028450067,-0.4641274680522471,-0.22766036047026125,0.00042724609375
mBERT,bert-base-multilingual-cased,1,last,inflectional,kalın,15,0.3876210086231135,0.5481732082210691,-0.16055219959795552,-0.3103784926573445,-0.020028934165006906,0.1353759765625
mBERT,bert-base-multilingual-cased,1,last,light_deriv,ince,10,0.37362791082887176,0.5456453645437926,-0.17201745371492091,-0.3057156365558535,-0.07091971459334122,0.00390625
mBERT,bert-base-multilingual-cased,1,last,light_deriv,kalın,10,0.35510572852012945,0.5099436848150762,-0.15483795629494676,-0.33319202079591337,0.007078758697164695,0.16015625
mBERT,bert-base-multilingual-cased,1,last,strong_deriv,ince,5,0.3463761111498228,0.5297845015217332,-0.18340839037191037,-0.47552812704291175,0.10871134629909104,0.8125
mBERT,bert-base-multilingual-cased,1,last,strong_deriv,kalın,5,0.297875953703082,0.5734928431937796,-0.2756168894906975,-0.5733065368982702,-0.005791433129379864,0.3125
mBERT,bert-base-multilingual-cased,1,mean,inflectional,ince,15,0.7908256937645208,0.5822172272144785,0.20860846655004242,0.14989130070022014,0.2628076959002425,0.0008544921875
mBERT,bert-base-multilingual-cased,1,mean,inflectional,kalın,15,0.7509123420831526,0.5083400819099426,0.24257226017321,0.18971435181805268,0.29214845713631166,6.103515625e-05
mBERT,bert-base-multilingual-cased,1,mean,light_deriv,ince,10,0.7874944116191802,0.5296764661519331,0.25781794546724707,0.1664882206850521,0.3333593657739702,0.005859375
mBERT,bert-base-multilingual-cased,1,mean,light_deriv,kalın,10,0.7568018555510412,0.5017871755939386,0.2550146799571026,0.209875831802638,0.30334362864794834,0.001953125
mBERT,bert-base-multilingual-cased,1,mean,strong_deriv,ince,5,0.7493000154788774,0.5284942163323986,0.22080579914647877,0.08120790240221104,0.3329043287306801,0.125
mBERT,bert-base-multilingual-cased,1,mean,strong_deriv,kalın,5,0.6935913499387136,0.532740689543838,0.16085066039487558,0.058972183464674456,0.22948551142183032,0.125
mBERT,bert-base-multilingual-cased,1,max,inflectional,ince,15,0.8021711641806003,0.6722692515660796,0.12990191261452058,0.08144968004763482,0.17050805811820544,0.0008544921875
mBERT,bert-base-multilingual-cased,1,max,inflectional,kalın,15,0.7902074012530608,0.6032269293109229,0.18698047194213785,0.14835326240825228,0.22977399957910496,6.103515625e-05
mBERT,bert-base-multilingual-cased,1,max,light_deriv,ince,10,0.8109444674139574,0.6451034138899974,0.16584105352395997,0.09530711299009904,0.23148561463836512,0.009765625
mBERT,bert-base-multilingual-cased,1,max,light_deriv,kalın,10,0.7949111946081613,0.6201219349108144,0.17478925969734696,0.1267918068962885,0.2233385922801471,0.001953125
mBERT,bert-base-multilingual-cased,1,max,strong_deriv,ince,5,0.7897112648881871,0.6475533498817214,0.1421579150064656,0.04267018333473134,0.25717559637093457,0.125
mBERT,bert-base-multilingual-cased,1,max,strong_deriv,kalın,5,0.7475391008690268,0.6784889620743997,0.06905013879462718,0.042439697395872014,0.09253688888061781,0.0625
mBERT,bert-base-multilingual-cased,7,first,inflectional,ince,15,0.9225747029562624,0.7721928731009374,0.15038182985532494,0.13581529776323234,0.16526311727361995,6.103515625e-05
mBERT,bert-base-multilingual-cased,7,first,inflectional,kalın,15,0.9163993181003959,0.7483540782224237,0.16804523987797193,0.14357914924451987,0.1956894116671614,6.103515625e-05
mBERT,bert-base-multilingual-cased,7,first,light_deriv,ince,10,0.9286797860998138,0.7811507386427972,0.14752904745701656,0.12385647712605775,0.17200018209557102,0.001953125
mBERT,bert-base-multilingual-cased,7,first,light_deriv,kalın,10,0.9072237364856944,0.7430254185949063,0.16419831789078812,0.14089065784745683,0.19162841861027285,0.001953125
mBERT,bert-base-multilingual-cased,7,first,strong_deriv,ince,5,0.9077118138054591,0.7938868905911107,0.1138249232143483,0.06828369914873152,0.1539413446346127,0.0625
mBERT,bert-base-multilingual-cased,7,first,strong_deriv,kalın,5,0.9047924118508714,0.7640478317141899,0.14074458013668137,0.11448422423891355,0.16700493603444916,0.0625
mBERT,bert-base-multilingual-cased,7,last,inflectional,ince,15,0.7974371214382805,0.8146077526474852,-0.017170631209204715,-0.037995660431443895,0.0040247951126717914,0.15142822265625
mBERT,bert-base-multilingual-cased,7,last,inflectional,kalın,15,0.7892220803353875,0.804155078359963,-0.014932998024575454,-0.05217108027923967,0.021721026598707623,0.45428466796875
